"Date","URL","Endid","Title","Brand_name","Position"
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","De Jong Intra",3
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Allcamps",4
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Go4holiday",5
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Lux-camp",6
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Suncamp",7
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Gustocamp",8
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Booking.com",9
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","D-reizen",10
2019-06-25,"https://www.zoover.nl/oostenrijk/tirol/natters/natterer-see/camping","159075","Camping Natterer See","De Jong Intra",1
2019-06-25,"https://www.zoover.nl/oostenrijk/tirol/natters/natterer-see/camping","159075","Camping Natterer See","Suncamp",2
2019-06-25,"https://www.zoover.nl/oostenrijk/tirol/natters/natterer-see/camping","159075","Camping Natterer See","Booking.com",3
2019-06-25,"https://www.zoover.nl/oostenrijk/tirol/natters/natterer-see/camping","159075","Camping Natterer See","D-reizen",4
2019-06-25,"https://www.zoover.nl/oostenrijk/tirol/natters/natterer-see/camping","159075","Camping Natterer See","AlleReizenOp1Site.nl",5
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Eurocamp",1
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Roan Campingvakanties",2
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Al Fresco",3
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Allcamps",4
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Go4holiday",5
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Lux-camp",6
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Vacanceselect",7
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Suncamp",8
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","ANWB camping",9
2019-06-25,"https://www.zoover.nl/oostenrijk/stiermarken/sankt-peter-am-kammersberg/bella-austria/camping","368987","Camping Bella Austria","Happy Camp",10
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Allcamps",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Go4holiday",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Lux-camp",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","De Jong Intra",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Canvas Holidays",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Villatent",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Happy Tent",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Suncamp",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","D-reizen",9
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/st-cast-le-guildo/chateau-de-galinee/camping","83923","Camping Château de Galinée","Eurocamp",10
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Lux-camp",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Vacanceselect",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","De Jong Intra",6
